abv,avail,avg_score,beer_name_og,brewery_og,category_og,city_og,ibu,num_of_ratings,state_og,style,style_og
5.10,Year-round,3.53,Misfit Red,DuClaw,North American Ale,Baltimore,-1,123,Maryland,American Amber / Red Ale,American-Style Amber/Red Ale
5.40,Fall,3.17,Lewmeister Oktoberfest,Amherst Brewing Company,German Lager,Amherst,-1,3,Massachusetts,German Märzen / Oktoberfest,German-Style Oktoberfest
4.60,Spring,0,Bankers Gold,Amherst Brewing Company,North American Ale,Amherst,-1,0,Massachusetts,American Blonde Ale,Golden or Blonde Ale
4.60,Year-round,2.63,Landshark Lager,Margaritaville Brewing Company,North American Lager,Jacksonville,-1,1957,Florida,American Adjunct Lager,American-Style Light Lager
-1,Rotating,3.72,Otto's Hefeweizen,Otto's Pub and Brewery,German Ale,State College,-1,36,Pennsylvania,German Hefeweizen,South German-Style Hefeweizen
5.50,Year-round,3.43,Mad Anthony's Ale,Erie Brewing Company,North American Ale,Erie,-1,358,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
6.00,Year-round,3.74,Round Boy Stout,Union Barrel Works,North American Ale,Reamstown,-1,13,Pennsylvania,English Oatmeal Stout,American-Style Stout
-1,Rotating,3.43,Big Mac,Michigan Brewing,North American Lager,Webberville,-1,13,Michigan,European Export / Dortmunder,American-Style Lager
10.20,Rotating,4.33,Sloth,Midnight Sun Brewing Co.,North American Ale,Anchorage,20,127,Alaska,Russian Imperial Stout,American-Style Imperial Stout
10.50,Rotating,4.04,Gluttony,Midnight Sun Brewing Co.,North American Ale,Anchorage,200,92,Alaska,American Imperial IPA,Imperial or Double India Pale Ale
4.90,Winter,2.95,Fireside Nut Brown,Jacob Leinenkugel Brewing Company,North American Ale,Chippewa Falls,-1,806,Wisconsin,European Dark Lager,American-Style Brown Ale
4.60,Year-round,2.72,Mamma Mia! Pizza Beer,Pizza Beer,Other Style,St Charles,-1,320,Illinois,Herb and Spice Beer,Herb and Spice Beer
6.00,Rotating,3.93,Full Curl Scotch Ale,Midnight Sun Brewing Co.,British Ale,Anchorage,-1,12,Alaska,Scotch Ale / Wee Heavy,Scotch Ale
4.60,Year-round,3.7,Yards Philadelphia Pale Ale,Yards Brewing,North American Ale,Philadelphia,-1,1041,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
5.10,Summer,3.53,Shouboushi Ginger Pilsner,Pennichuck Brewing Company,German Lager,Milford,-1,27,New Hampshire,German Pilsner,German-Style Pilsener
8.00,Fall,3.82,Pays du Soleil,Saint Somewhere Brewing Company,Belgian and French Ale,Tarpon Springs,-1,214,Florida,Belgian Saison,Other Belgian-Style Ales
4.75,Year-round,3.28,60 Shilling,Nodding Head Brewpub,British Ale,Philadelphia,-1,40,Pennsylvania,Scottish Ale,Scotch Ale
6.50,Rotating,3.54,Baron Helles Bock,Baron Brewing Company,German Lager,Seattle,-1,5,Washington,German Maibock,German-Style Heller Bock/Maibock
4.70,Fall,3.01,Pumpkinhead Ale,Shipyard Brewing - Portland,Other Style,Portland,-1,2754,Maine,Pumpkin Beer,Pumpkin Beer
4.80,Year-round,3.53,Wixa Weiss,Wynkoop Brewing,Other Style,Denver,-1,34,Colorado,German Hefeweizen,Light American Wheat Ale or Lager
-1,Year-round,3.45,Two Guns Pilsner,Wynkoop Brewing,German Lager,Denver,-1,19,Colorado,Bohemian Pilsener,German-Style Pilsener
5.60,Year-round,3.83,Shoals Pale Ale,Smuttynose Brewing Co.,North American Ale,Portsmouth,52,1495,New Hampshire,English Pale Ale,American-Style Pale Ale
4.00,Winter,3.45,Black Mountain Bitter,Highland Brewing Company,British Ale,Asheville,-1,47,North Carolina,English Bitter,Ordinary Bitter
9.00,Year-round,4.13,Iniquity Imperial Black Ale,Southern Tier Brewing Co,,Lakewood,-1,1526,New York,American Black Ale,
7.80,Rotating,4.19,Oak-Aged Imperial Chocolate Pumpkin Porter,Midnight Sun Brewing Co.,Irish Ale,Anchorage,-1,85,Alaska,American Porter,Porter
5.00,Rotating,3.82,Richbrau Oatmeal Stout,Richbrau Brewing Company,British Ale,Richmond,-1,6,Virginia,English Oatmeal Stout,Oatmeal Stout
6.90,Year-round,3.68,Deluxe Organic Ale,Hopworks Urban Brewery,North American Ale,Portland,-1,121,Oregon,American Strong Ale,American-Style Strong Pale Ale
4.10,Year-round,3.93,Valley Brewing London Tavern Ale,Valley Brewing Company,British Ale,Stockton,-1,20,California,English Dark Mild Ale,English-Style Pale Mild Ale
3.20,Year-round,3,Straub Light,Straub Brewery,,St. Mary's,-1,65,Pennsylvania,American Light Lager,
11.10,Year-round,3.67,Blithering Idiot,Weyerbacher Brewing Company,North American Ale,Easton,-1,2260,Pennsylvania,British Barleywine,American-Style Barley Wine Ale
6.20,Year-round,3.64,Hops Infusion,Weyerbacher Brewing Company,North American Ale,Easton,-1,871,Pennsylvania,American IPA,American-Style India Pale Ale
6.20,Year-round,3.55,HopFish IPA,Flying Fish Brewing Company,North American Ale,Cherry Hill,-1,856,New Jersey,English India Pale Ale (IPA),American-Style India Pale Ale
7.20,Winter,3.64,Grand Cru Winter Reserve,Flying Fish Brewing Company,Belgian and French Ale,Cherry Hill,-1,600,New Jersey,Belgian Strong Pale Ale,Other Belgian-Style Ales
5.50,Rotating,3.24,North Star Red,21st Amendment Brewery Cafe,North American Ale,San Francisco,-1,8,California,American Amber / Red Ale,American-Style Amber/Red Ale
5.50,Year-round,3.42,Old Scratch Lager,Flying Dog Brewery,North American Ale,Denver,-1,1539,Colorado,American Amber / Red Lager,American-Style Amber/Red Ale
5.20,Fall,3.73,Chicory Stout,Dogfish Head Craft Brewery,North American Ale,Milton,21,3380,Delaware,American Stout,American-Style Stout
5.90,Winter,3.77,Samuel Adams Old Fezziwig Ale,Boston Beer Company,,Boston,-1,3748,Massachusetts,Winter Warmer,
10.00,Winter,4.45,Hopslam Ale,Bell's Brewery Inc.,North American Ale,Galesburg,-1,13653,Michigan,American Imperial IPA,Imperial or Double India Pale Ale
9.00,Winter,3.73,Frosty Frog,Rogue Ales,Other Style,Newport,-1,16,Oregon,American Strong Ale,Winter Warmer
-1,Year-round,2.41,Airship Light,Thirsty Dog Brewing,North American Ale,Akron,-1,2,Ohio,American Light Lager,Golden or Blonde Ale
8.30,Winter,3.96,12 Dogs Christmas Ale,Thirsty Dog Brewing,,Akron,-1,776,Ohio,Winter Warmer,
4.40,Year-round,3.56,Boulevard Unfiltered Wheat,Boulevard Brewing Company,Other Style,Kansas City,14,2092,Missouri,American Pale Wheat Ale,Light American Wheat Ale or Lager
5.00,Summer,3.67,Summerfest,Sierra Nevada Brewing Co.,German Lager,Chico,-1,4355,California,Bohemian Pilsener,German-Style Pilsener
5.10,Year-round,4.16,Allagash White,Allagash Brewing,Belgian and French Ale,Portland,-1,5557,Maine,Belgian Witbier,Belgian-Style White
4.90,Year-round,2.47,Michelob Honey Lager,Anheuser-Busch,North American Lager,Saint Louis,21,239,Missouri,American Amber / Red Lager,American-Style Lager
4.60,Summer,3.39,Anchor Summer Beer,Anchor Brewing,Other Style,San Francisco,-1,1306,California,American Pale Wheat Ale,Light American Wheat Ale or Lager
5.40,Year-round,3.66,Blue Bell Bitter,Magnolia Pub and Brewery,British Ale,San Francisco,-1,56,California,English Extra Special / Strong Bitter (ESB),Special Bitter or Best Bitter
4.20,Rotating,3.47,Strawberry Harvest Lager,Abita Brewing Company,Other Style,Abita Springs,13,1374,Louisiana,Fruit and Field Beer,Fruit Beer
5.20,Summer,0,Blackberry Ale,Flat Branch Pub & Brewing,North American Ale,Columbia,22,0,Missouri,Fruit and Field Beer,American-Style Pale Ale
5.80,Year-round,3.77,Thunderhead IPA,Thunder Canyon Brewery,North American Ale,Tucson,-1,18,Arizona,American IPA,American-Style India Pale Ale
6.40,Rotating,3.49,Paleo IPA,North Country Brewery,North American Ale,Slippery Rock,-1,190,Pennsylvania,American IPA,American-Style India Pale Ale
5.50,Spring,4.02,Graduation Ale,Amherst Brewing Company,North American Ale,Amherst,-1,3,Massachusetts,American Pale Ale (APA),American-Style Pale Ale
5.50,Year-round,3.51,Oatmeal Stout,Onopa Brewing,North American Ale,Milwaukee,-1,7,Wisconsin,English Oatmeal Stout,American-Style Stout
6.20,Year-round,2.92,Promethean Porter,Bonfire Brewery,Irish Ale,Northville,-1,4,Michigan,American Porter,Porter
-1,Rotating,2.95,Chessie Cherry,Flossmoor Station Brewery,Other Style,Flossmoor,-1,23,Illinois,Fruit and Field Beer,Light American Wheat Ale or Lager
4.20,Year-round,3.54,Harry Baals Stout,Mad Anthony Brewing,North American Ale,Fort Wayne,-1,22,Indiana,Irish Dry Stout,American-Style Stout
4.60,Year-round,3.37,Auburn,Mad Anthony Brewing,North American Ale,Fort Wayne,-1,68,Indiana,American Amber / Red Lager,American-Style Pale Ale
-1,Rotating,3.64,Imperial Pale Ale,Route 66 Brewery,North American Ale,Saint Louis,-1,2,Missouri,American Imperial IPA,American-Style Pale Ale
-1,Year-round,3.65,River City Red Ale,Route 66 Brewery,North American Ale,Saint Louis,-1,5,Missouri,American Amber / Red Ale,American-Style Amber/Red Ale
11.00,Rotating,3.84,Immort Ale,Dogfish Head Craft Brewery,,Milton,50,2739,Delaware,English Strong Ale,
7.25,Year-round,4.2,Iditarod Imperial Stout,Two Brothers Brewing,North American Ale,Warrenville,-1,1,Illinois,Russian Imperial Stout,American-Style Stout
-1,Year-round,2.8,Newmarket Pale Ale,Illinois Brewing,North American Ale,Bloomington,-1,4,Illinois,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,3.79,Dam Straight Lager,Dillon Dam Brewery,North American Lager,Dillon,-1,30,Colorado,German Märzen / Oktoberfest,American-Style Lager
-1,Year-round,2.25,How Now,Grumpy Troll Restaurant and Brewery,North American Ale,Mount Horeb,-1,1,Wisconsin,English Brown Ale,American-Style Brown Ale
5.00,Year-round,3.73,Big Ben Brown,Bull & Bush Pub & Brewery,North American Ale,Denver,-1,43,Colorado,English Brown Ale,American-Style Brown Ale
5.00,Limited (brewed once),0,Hefeweizen,Bull & Bush Pub & Brewery,German Ale,Denver,-1,0,Colorado,Fruit and Field Beer,South German-Style Hefeweizen
10.20,Rotating,3.9,Bourbon Barrel Porter,Oregon Trail Brewery,,Corvallis,-1,67,Oregon,American Imperial Porter,
6.80,Year-round,3.73,Black Jack Porter,Left Hand Brewing Company,Irish Ale,Longmont,-1,1411,Colorado,English Porter,Porter
4.80,Rotating,3.61,Mothership Wit,New Belgium Brewing,,Fort Collins,-1,963,Colorado,Belgian Witbier,
4.80,Year-round,3.21,Mavericks Amber Ale,Half Moon Bay Brewing,North American Ale,Princeton by the Sea,-1,30,California,American Amber / Red Ale,American-Style Amber/Red Ale
4.90,Year-round,2.86,Harbor Light Ale,Half Moon Bay Brewing,,Princeton by the Sea,-1,19,California,American Blonde Ale,
5.00,Rotating,3.83,Chazz Cat Rye,Iron Springs Pub & Brewery,North American Lager,Fairfax,-1,10,California,Rye Beer,American-Style Lager
-1,Winter,3.56,Belgian Abbey,Faultline Brewing #1,,Sunnyvale,-1,3,California,Belgian Dubbel,
5.30,Year-round,3.63,Bison Brown Ale,Little Apple Brewing,North American Ale,Manhattan,24,18,Kansas,English Brown Ale,American-Style Brown Ale
-1,Year-round,2.83,Green Valley Wild Hop Lager,Anheuser-Busch,North American Lager,Saint Louis,-1,17,Missouri,American Lager,American-Style Lager
5.50,Year-round,3.54,Nightwatch Dark Ale,Maritime Pacific Brewing,Irish Ale,Seattle,-1,57,Washington,American Amber / Red Ale,Porter
-1,Winter,4.09,Navidad,Skagit River Brewing,North American Ale,Mount Vernon,-1,1,Washington,Winter Warmer,American-Style Amber/Red Ale
3.50,Year-round,3.39,Yellowjacket Pale Ale,Skagit River Brewing,North American Ale,Mount Vernon,-1,7,Washington,American Pale Ale (APA),American-Style Pale Ale
-1,Summer,3.72,Driftwood Ale,Pacific Rim Brewing,North American Ale,Seattle,-1,4,Washington,American Pale Wheat Ale,American-Style Pale Ale
4.60,Year-round,3.43,Red Menace Big Amber,Hale's Ales #3,North American Ale,Seattle,-1,97,Washington,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.69,Tip Top Pale Ale,Jobber's Canyon Restaurant & Brewery,North American Ale,Omaha,-1,3,Nebraska,English Pale Ale,American-Style Pale Ale
8.50,Year-round,4.02,Moylander Double IPA,Moylan's Brewery & Restaurant,North American Ale,Novato,-1,722,California,American Imperial IPA,Imperial or Double India Pale Ale
6.00,Year-round,3.63,Mongoose IPA,Hale's Ales #3,North American Ale,Seattle,-1,233,Washington,American IPA,American-Style India Pale Ale
-1,Year-round,3.94,Red Coat Ale,Valley Forge Brewing,North American Ale,Wayne,-1,3,Pennsylvania,American Amber / Red Ale,American-Style Amber/Red Ale
5.60,Rotating,3.55,Seamus Irish Red,Sly Fox Brewhouse and Eatery - Royersford,,Royersford,-1,76,Pennsylvania,Irish Red Ale,
5.40,Rotating,3.82,Royal Weisse,Sly Fox Brewhouse and Eatery - Royersford,German Ale,Royersford,-1,367,Pennsylvania,German Hefeweizen,South German-Style Hefeweizen
8.00,Rotating,3.85,Imperial Espresso Porter,Flying Fish Brewing Company,Irish Ale,Cherry Hill,-1,130,New Jersey,American Imperial Porter,Porter
4.30,Year-round,3.73,Skyline Stout,Mudshark Brewing,,Lake Havasu City,-1,4,Arizona,American Stout,
4.90,Rotating,3.64,Oyster Point Oyster Stout,21st Amendment Brewery Cafe,North American Ale,San Francisco,-1,39,California,English Stout,American-Style Stout
9.50,Rotating,4.25,Double Trouble IPA,21st Amendment Brewery Cafe,North American Ale,San Francisco,-1,28,California,American Imperial IPA,Imperial or Double India Pale Ale
5.80,Year-round,4.06,Railyard Ale,Upstream Brewing Old Market,North American Ale,Omaha,-1,3,Nebraska,English Pale Ale,American-Style Pale Ale
-1,Limited (brewed once),4.34,Hands Off Maibock,Bullfrog Brewery,German Lager,Williamsport,-1,1,Pennsylvania,German Maibock,German-Style Heller Bock/Maibock
4.80,Year-round,3.38,Headbangerz Brown Ale,Bavarian Barbarian Brewing Company,North American Ale,Williamsport,-1,33,Pennsylvania,English Brown Ale,American-Style Brown Ale
7.40,Limited (brewed once),3.71,Monk Madness Ale,Rogue Ales,North American Ale,Newport,-1,200,Oregon,American Strong Ale,American-Style Brown Ale
3.10,Year-round,3.41,Stud Service Stout,Thirsty Dog Brewing,North American Ale,Akron,-1,19,Ohio,Irish Dry Stout,American-Style Stout
6.50,Winter,3.66,Blizzard Bock,Flying Bison Brewing,German Lager,Buffalo,21,46,New York,German Bock,Traditional German-Style Bock
4.50,Summer,3.52,SunRay Wheat Beer,Terrapin Beer Company,Other Style,Athens,-1,238,Georgia,German Hefeweizen,Light American Wheat Ale or Lager
5.10,Rotating,3.48,Manzanita Red,Prescott Brewing Company,Irish Ale,Prescott,-1,10,Arizona,American Amber / Red Ale,Irish-Style Red Ale
4.70,Year-round,3.41,Blacksburger Pils,Blacksburg Brewing Company,German Lager,Blacksburg,-1,5,Virginia,German Pilsner,German-Style Pilsener
12.70,Fall,4.33,Berserker Imperial Stout,Midnight Sun Brewing Co.,North American Ale,Anchorage,30,1205,Alaska,American Imperial Stout,American-Style Imperial Stout
3.40,Rotating,0,JoBoy's Cream Ale,JoBoy's Brew Pub,Other Style,Manheim,15,0,Pennsylvania,American Cream Ale,American-Style Cream Ale or Lager
8.30,Year-round,3.86,Raging Bitch Belgian IPA,Flying Dog Brewery,Belgian and French Ale,Denver,-1,4129,Colorado,Belgian IPA,Other Belgian-Style Ales
7.00,Rotating,3.34,Lilja's Hop Nest Monster,Sand Creek Brewing Company,North American Ale,Black River Falls,-1,193,Wisconsin,American IPA,American-Style India Pale Ale
7.00,Rotating,4.55,Supplication,Russian River Brewing,,Santa Rosa,-1,6562,California,American Wild Ale,
5.50,Year-round,3.57,Manheim Red,JoBoy's Brew Pub,North American Ale,Manheim,23,11,Pennsylvania,Irish Red Ale,American-Style Amber/Red Ale
12.50,Rotating,4.29,The Angel's Share - Bourbon Barrel Aged,The Lost Abbey,North American Ale,San Marcos,-1,1922,California,American Strong Ale,American-Style Strong Pale Ale
5.80,Year-round,3.48,Pale Ale,Yazoo Brewing,North American Ale,Nashville,55,581,Tennessee,American Pale Ale (APA),American-Style Pale Ale
4.90,Year-round,2.87,Ziegenbock Amber,Anheuser-Busch,German Lager,Saint Louis,-1,498,Missouri,American Amber / Red Lager,Traditional German-Style Bock
5.00,Year-round,3.49,Orlio Common Ale,Orlio Organic,,South Burlington,20,37,Vermont,California Common / Steam Beer,
5.50,Rotating,3.73,Paddlers Pale Ale,North Country Brewery,North American Ale,Slippery Rock,-1,13,Pennsylvania,American Pale Ale (APA),American-Style Pale Ale
5.00,Year-round,2.02,Red Dog,Miller Brewing,North American Lager,Milwaukee,-1,780,Wisconsin,American Adjunct Lager,American-Style Light Lager
4.80,Rotating,4.09,Copper Hill Kolsch,The Cambridge House,,Granby,-1,30,Connecticut,German Kölsch,
4.80,Rotating,3.56,Patriots Pilsner,Amherst Brewing Company,German Lager,Amherst,-1,5,Massachusetts,German Pilsner,German-Style Pilsener
3.22,Rotating,2.69,Cliffhanger Light Ale,Barley Creek Brewing,North American Lager,Tannersville,-1,3,Pennsylvania,American Light Lager,American-Style Light Lager
4.80,Year-round,2.74,Tap Room No. 21 Amber Ale,Tap Room Brewing Company,North American Ale,La Crosse,-1,199,Wisconsin,American Amber / Red Ale,American-Style Amber/Red Ale
5.20,Year-round,3.75,Green Lakes Organic Ale,Deschutes Brewery,North American Ale,Bend,-1,352,Oregon,American Amber / Red Ale,American-Style Amber/Red Ale
6.50,Winter,3.65,Winter Wheat,Middle Ages Brewing,Other Style,Syracuse,-1,8,New York,American Dark Wheat Ale,Light American Wheat Ale or Lager
6.50,Year-round,3.28,Cricket Hill Hopnotic,Cricket Hill,North American Ale,Fairfield,-1,340,New Jersey,English India Pale Ale (IPA),American-Style India Pale Ale
6.00,Spring,3.53,Spring Fling,Blue Point Brewing,North American Ale,Patchogue,-1,314,New York,American Pale Ale (APA),American-Style Pale Ale
5.00,Winter,3.81,Bavarian Dark,Michigan Brewing,North American Ale,Webberville,-1,9,Michigan,Munich Dunkel Lager,American-Style Brown Ale
5.50,Year-round,3.54,Superior Stout,Michigan Brewing,North American Ale,Webberville,-1,64,Michigan,American Stout,American-Style Stout
10.50,Limited (brewed once),3.75,Existential,New Holland Brewing Company,North American Ale,Holland,-1,142,Michigan,American Barleywine,American-Style Barley Wine Ale
7.50,Winter,3.68,Old Man Winter Ale,Southern Tier Brewing Co,German Ale,Lakewood,-1,1626,New York,English Old Ale,German-Style Brown Ale/Altbier
10.10,Summer,3.54,Imperial Cherry Saison,Southern Tier Brewing Co,Belgian and French Ale,Lakewood,-1,329,New York,Belgian Saison,French & Belgian-Style Saison
9.00,Winter,4.03,Noel de Calabaza,Jolly Pumpkin Artisan Ales,,Dexter,-1,1036,Michigan,Belgian Strong Dark Ale,
6.20,Rotating,3.65,Black Powder Stout,Tommyknocker Brewery and Pub,North American Ale,Idaho Springs,-1,42,Colorado,American Stout,American-Style Stout
4.75,Year-round,3.67,Topping Pale Ale,Court Avenue Brewing,North American Ale,Des Moines,-1,7,Iowa,English Pale Ale,American-Style Pale Ale
5.70,Rotating,3.75,Red Toad Amber Ale,Blue Cat Brew Pub,North American Ale,Rock Island,-1,1,Illinois,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.27,Stonecutter Stout,Raccoon River Brewing,North American Ale,Des Moines,-1,13,Iowa,American Stout,American-Style Stout
4.60,Year-round,2.95,Original,Jacob Leinenkugel Brewing Company,North American Lager,Chippewa Falls,-1,629,Wisconsin,American Adjunct Lager,American-Style Lager
-1,Spring,4.08,Triple Nickel Irish Stout,Prairie Rock Brewing - Elgin,North American Ale,Elgin,-1,2,Illinois,Irish Dry Stout,American-Style Stout
-1,Year-round,2.68,Prairie Light,Prairie Rock Brewing - Elgin,,Elgin,-1,1,Illinois,American Light Lager,
-1,Limited (brewed once),0,Our Special Ale 1992,Anchor Brewing,,San Francisco,-1,0,California,Winter Warmer,
7.00,Winter,3.55,Hoppy Holidaze,Marin Brewing,,Larkspur Landing,-1,109,California,Winter Warmer,
4.20,Year-round,3.65,Hefe Weiss,Sprecher Brewing,German Ale,Glendale,-1,293,Wisconsin,German Hefeweizen,South German-Style Hefeweizen
-1,Summer,4.05,Witbier,Gray Brewing,,Janesville,-1,10,Wisconsin,Belgian Witbier,
4.50,Winter,3.81,Oatmeal Stout,Long Valley Pub & Brewery,North American Ale,Long Valley,-1,5,New Jersey,English Oatmeal Stout,American-Style Stout
4.00,Year-round,3.32,Gelande Amber Lager,Uinta Brewing Compnay,,Salt Lake City,-1,33,Utah,American Amber / Red Lager,
6.90,Year-round,3.63,East India Pale Ale,Brooklyn Brewery,North American Ale,Brooklyn,-1,2532,New York,English India Pale Ale (IPA),American-Style India Pale Ale
-1,Year-round,3.69,Pilsner,Saxer Brewing,North American Lager,Lake Oswego,-1,8,Oregon,German Pilsner,American-Style Lager
5.00,Year-round,3.26,Golden Lager,First Coast Brewing,North American Lager,Wilmington,-1,6,North Carolina,American Adjunct Lager,American-Style Lager
5.80,Year-round,3.62,Brown Trout Brown,Great Waters Brewing Company,North American Ale,Saint Paul,-1,30,Minnesota,English Brown Ale,American-Style Brown Ale
-1,Year-round,4.04,Big Horn Nut Brown Ale,Rock Bottom Restaurant & Brewery - Minneapolis,North American Ale,Minneapolis,-1,20,Minnesota,English Brown Ale,American-Style Brown Ale
4.50,Year-round,3.43,Meridian Street Premium Lager,Oaken Barrel Brewing,North American Lager,Greenwood,-1,5,Indiana,American Adjunct Lager,American-Style Lager
-1,Year-round,2.54,Kristall Weiss,Tabernash Brewing,German Ale,Longmont,-1,4,Colorado,German Kristalweizen,South German-Style Hefeweizen
4.70,Year-round,4.35,McBride Porter,Fitzpatrick's Brewing,Irish Ale,Iowa City,-1,1,Iowa,American Porter,Porter
-1,Year-round,3.74,Golden Gate Amber Ale,Golden Pacific Brewing,North American Ale,Berkeley,-1,4,California,American Amber / Red Ale,American-Style Amber/Red Ale
5.20,Year-round,0,American Pale Ale,Onopa Brewing,North American Ale,Milwaukee,-1,0,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
12.00,Rotating,3.21,Scotch Ale,Arcadia Brewing,British Ale,Battle Creek,-1,62,Michigan,Scotch Ale / Wee Heavy,Scotch Ale
-1,Year-round,4.1,Fox Tail Amber Ale,Fox River Brewing #1,North American Ale,Oshkosh,-1,2,Wisconsin,American Amber / Red Ale,American-Style Amber/Red Ale
-1,Year-round,3.9,Tornado Ale,Olde Peninsula Brewpub and Restaurant,North American Ale,Kalamazoo,-1,5,Michigan,American Pale Ale (APA),American-Style Pale Ale
4.80,Rotating,3.63,Red Lager,Old Hat Brewery,North American Lager,Lawton,-1,1,Michigan,American Amber / Red Ale,American-Style Lager
5.20,Year-round,2.99,Scarlet Ale,Southend Brewery and Smokehouse - Charleston,North American Ale,Charleston,-1,8,South Carolina,American Amber / Red Ale,American-Style Amber/Red Ale
5.00,Year-round,3.52,Lawnmower Pale Ale,Broad Ripple Brewing,North American Ale,Indianapolis,-1,5,Indiana,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,0,Kenosha Gold,Brewmasters Restaurant and Brewery South,,Kenosha,-1,0,Wisconsin,American Adjunct Lager,
8.00,Rotating,3.96,Imperial Delusion,Mickey Finn's Brewery,North American Ale,Libertyville,-1,6,Illinois,Russian Imperial Stout,American-Style Stout
5.20,Rotating,4.03,XXX Porter,Goose Island Beer Company - Clybourn,,Chicago,-1,7,Illinois,American Porter,
7.80,Spring,3.86,Blonde Doppelbock,Capital Brewery,German Lager,Middleton,-1,295,Wisconsin,German Doppelbock,Traditional German-Style Bock
8.00,Winter,3.87,Tannen Bomb,Golden Valley Brewery and Pub,,McMinnville,-1,44,Oregon,Winter Warmer,
4.90,Year-round,3.74,Big Bark Amber Lager,Live Oak Brewing,North American Lager,Austin,-1,250,Texas,Vienna Lager,American-Style Lager
18.00,Rotating,4.01,Double Ice Bock,Southampton Publick House,German Lager,Southampton,-1,47,New York,German Eisbock,Traditional German-Style Bock
5.50,Year-round,0,Amber Daze,Heavenly Daze Brewery and Grill,North American Ale,Denver,-1,0,Colorado,American Amber / Red Ale,American-Style Amber/Red Ale
5.30,Year-round,3.36,Hopyard IPA,Rockyard Brewing,North American Ale,Castle Rock,-1,50,Colorado,American IPA,American-Style India Pale Ale
6.50,Year-round,3.69,Super Natural ESB,Hawks Brewing,,Roseburg,-1,8,Oregon,English Extra Special / Strong Bitter (ESB),
-1,Year-round,0,Bube's Kiwi-Strawberry Wheat,Bube's Brewery,Other Style,Mount Joy,-1,0,Pennsylvania,Fruit and Field Beer,Fruit Beer
5.60,Year-round,3.41,Bube's Hefeweizen,Bube's Brewery,German Ale,Mount Joy,-1,5,Pennsylvania,German Hefeweizen,South German-Style Hefeweizen
6.90,Rotating,4.58,Heathen,The Alchemist,North American Ale,Waterbury,100,3,Vermont,American IPA,American-Style India Pale Ale
6.50,Rotating,4.52,Revitalization Rye,The Alchemist,Other Style,Waterbury,100,4,Vermont,American IPA,American Rye Ale or Lager
4.40,Year-round,3.5,Middle Ages Apricot Ale,Middle Ages Brewing,Other Style,Syracuse,-1,63,New York,Fruit and Field Beer,Fruit Beer
5.00,Year-round,3.79,Highlander 80/-,Middle Ages Brewing,British Ale,Syracuse,-1,22,New York,Scottish Ale,Scotch Ale
5.00,Year-round,3.55,Bohemian Dock Street Pilsner,Dock Street Beer,German Lager,West Philly,40,77,Pennsylvania,Bohemian Pilsener,German-Style Pilsener
4.80,Year-round,3.72,Nutter Brown,Coronado Brewing Company,North American Ale,Coronado,-1,14,California,English Brown Ale,American-Style Brown Ale
6.50,Winter,3.38,Misery Bay IPA,Erie Brewing Company,North American Ale,Erie,-1,312,Pennsylvania,American IPA,American-Style India Pale Ale
5.50,Year-round,3.64,Peninsula Porter,Michigan Brewing,Irish Ale,Webberville,-1,62,Michigan,American Porter,Porter
5.10,Summer,3.78,Hop Sun,Southern Tier Brewing Co,Other Style,Lakewood,-1,1471,New York,American Pale Wheat Ale,Light American Wheat Ale or Lager
8.00,Rotating,3.86,Heavy Weizen Imperial Unfiltered Wheat Ale,Southern Tier Brewing Co,German Ale,Lakewood,-1,239,New York,German Hefeweizen,South German-Style Hefeweizen
4.30,Rotating,3.78,Bam Noire,Jolly Pumpkin Artisan Ales,Belgian and French Ale,Dexter,-1,893,Michigan,Belgian Saison,French & Belgian-Style Saison
4.00,Year-round,2.58,Redbridge,Anheuser-Busch,North American Lager,Saint Louis,-1,517,Missouri,American Amber / Red Lager,American-Style Lager
5.50,Fall,3.63,Gemuetlichkeit Oktoberfest,Tyranena Brewing,German Lager,Lake Mills,-1,96,Wisconsin,German Märzen / Oktoberfest,German-Style Oktoberfest
5.50,Year-round,2.88,Radeau Red Ale,Cooper's Cave Ale Company,Irish Ale,Glens Falls,-1,6,New York,American Amber / Red Ale,Irish-Style Red Ale
4.80,Year-round,3.35,Blonde Lager,Rahr & Sons Brewing Company,North American Lager,Fortworth,-1,162,Texas,German Helles,American-Style Lager
4.20,Year-round,3.31,Golden Light,Red Star Brewery & Grille,North American Lager,Greensburg,-1,4,Pennsylvania,American Light Lager,American-Style Light Lager
5.40,Year-round,3.9,Red Seal Ale,North Coast Brewing Company,North American Ale,Fort Bragg,-1,2124,California,American Amber / Red Ale,American-Style Amber/Red Ale
8.70,Limited (brewed once),3.89,Obliteration IV,Midnight Sun Brewing Co.,North American Ale,Anchorage,100,20,Alaska,American Imperial IPA,Imperial or Double India Pale Ale
